cowcode	year	FDI_UNCTAD_2	capex2000	capex09_152000	oecd	ICRG	sum_pending_full	sum_pending_full_indirect	sum_pending_full_direct	sum_pending_full_proInv	sum_pending_full_FET	polity2	GDP_growth	cusum	ka_open	USBIT	notdirect	notindirect	notFET	USPending	USI	USD	USFE	USnonFET	USnonD	USnonI	sum_ICSID_pending_direct	sum_ICSID_pending_indirect	sum_ICSID_pending_FET	sum_ICSID_pending_Full	ICSIDnotdirect	ICSIDnotindirect	ICSIDnotFET
552.0	1993.0	38.0			0.0	3.0	0.0	0.0	0.0	0.0	0.0	-6	1.0514585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1994.0	41.0			0.0	3.0	0.0	0.0	0.0	0.0	0.0	-6	9.235199	0.0	0.16569704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1995.0	117.7			0.0	3.0	0.0	0.0	0.0	0.0	0.0	-6	0.15802576	0.0	0.16569704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1996.0	80.9			0.0	3.0	0.0	0.0	0.0	0.0	0.0	-6	10.360697	0.0	0.16569704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1997.0	135.1	40.66		0.0	2.58	0.0	0.0	0.0	0.0	0.0	-6	2.6805942	1.0	0.16569704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1998.0	444.3	37.1		0.0	2.0	0.0	0.0	0.0	0.0	0.0	-6	2.885212	2.0	0.16569704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1999.0	59.0	21.63		0.0	2.0	0.0	0.0	0.0	0.0	0.0	-3	-0.8178209	2.0	0.16569704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	2000.0	23.2	12.0		0.0	2.0	0.0	0.0	0.0	0.0	0.0	-3	-3.0591896	3.0	0.16569704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	2001.0	3.8	17.46		0.0	2.0	0.0	0.0	0.0	0.0	0.0	-4	1.4396151	4.0	0.16569704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	2002.0	25.9	13.44		0.0	2.0	0.0	0.0	0.0	0.0	0.0	-4	-8.894023	4.0	0.16569704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	2003.0	3.8	2.82		0.0	2.0	0.0	0.0	0.0	0.0	0.0	-4	-16.995075	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	2004.0	8.7	2.73		0.0	2.0	0.0	0.0	0.0	0.0	0.0	-4	-5.8075385	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
