cowcode,year,irtpers8,seirtpers8
150,1953,-1.321256,.6139747
150,1954,-1.321256,.6139747
150,1955,-.8920777,.5165605
150,1956,-.1912141,.4254764
150,1957,.3190812,.4214201
150,1958,.3190812,.4214201
150,1959,.3190812,.4214201
150,1960,.5198259,.429419
150,1961,.5198259,.429419
150,1962,.5198259,.429419
150,1963,.5198259,.429419
150,1964,.5198259,.429419
150,1965,.5198259,.429419
150,1966,.5198259,.429419
150,1967,1.425203,.5280889
150,1968,1.425203,.5280889
150,1969,1.425203,.5280889
150,1970,1.425203,.5280889
150,1971,1.425203,.5280889
150,1972,1.425203,.5280889
150,1973,1.425203,.5280889
150,1974,1.425203,.5280889
150,1975,1.425203,.5280889
150,1976,1.425203,.5280889
150,1977,1.425203,.5280889
150,1978,1.425203,.5280889
150,1979,1.425203,.5280889
150,1980,1.425203,.5280889
150,1981,1.425203,.5280889
150,1982,1.425203,.5280889
150,1983,.9127403,.4598016
150,1984,.9127403,.4598016
150,1985,.5198259,.429419
150,1986,.5198259,.429419
150,1987,.5198259,.429419
150,1988,1.425203,.5280889
150,1989,1.425203,.5280889
150,1990,-.2695529,.4300676
150,1991,-.2695529,.4300676
150,1992,-.2695529,.4300676
150,1993,-.2695529,.4300676
155,1974,.0098139,.4191052
155,1975,.3190812,.4214201
155,1976,.3190812,.4214201
155,1977,.3190812,.4214201
155,1978,.3190812,.4214201
155,1979,.3190812,.4214201
155,1980,.3190812,.4214201
155,1981,.3190812,.4214201
155,1982,.3190812,.4214201
155,1983,.3190812,.4214201
155,1984,.3190812,.4214201
155,1985,.3190812,.4214201
155,1986,.3190812,.4214201
155,1987,.3190812,.4214201
155,1988,.3190812,.4214201
155,1989,.3190812,.4214201
160,1946,-1.321256,.6139747
160,1952,1.076466,.4783733
160,1953,1.076466,.4783733
160,1954,1.076466,.4783733
160,1955,1.076466,.4783733
160,1956,-.6246135,.4685742
160,1957,-.6246135,.4685742
160,1958,-.6246135,.4685742
160,1959,-.9617928,.5311955
160,1960,-.6246135,.4685742
160,1961,-.6246135,.4685742
160,1962,-.9617928,.5311955
160,1963,-.6246135,.4685742
160,1964,-.6246135,.4685742
160,1965,-.6246135,.4685742
160,1966,-.9617928,.5311955
160,1967,.0004665,.4192469
160,1968,.0004665,.4192469
160,1969,.0004665,.4192469
160,1970,.0004665,.4192469
160,1971,-.9617928,.5311955
160,1972,-.9617928,.5311955
160,1973,-.9617928,.5311955
160,1977,-1.321256,.6139747
160,1978,-1.321256,.6139747
160,1979,-1.321256,.6139747
160,1980,-1.321256,.6139747
160,1981,-1.321256,.6139747
160,1982,-1.321256,.6139747
160,1983,-1.321256,.6139747
165,1974,-1.321256,.6139747
165,1975,-1.321256,.6139747
165,1976,-.8418534,.5064905
165,1977,-.8418534,.5064905
165,1978,-.8418534,.5064905
165,1979,-.8418534,.5064905
165,1980,-1.321256,.6139747
165,1981,-1.321256,.6139747
165,1982,-1.321256,.6139747
165,1983,-1.321256,.6139747
165,1984,-1.321256,.6139747
230,1946,.7110561,.4417022
230,1947,.7110561,.4417022
230,1948,.7110561,.4417022
230,1949,.7110561,.4417022
230,1950,.7110561,.4417022
230,1951,.7110561,.4417022
230,1952,.7110561,.4417022
230,1953,.7110561,.4417022
230,1954,.7110561,.4417022
230,1955,.7110561,.4417022
230,1956,.7110561,.4417022
230,1957,.7110561,.4417022
230,1958,.7110561,.4417022
230,1959,.7110561,.4417022
230,1960,.7110561,.4417022
230,1961,.7110561,.4417022
230,1962,.7110561,.4417022
230,1963,.7110561,.4417022
230,1964,.7110561,.4417022
230,1965,.7110561,.4417022
230,1966,.7110561,.4417022
230,1967,.7110561,.4417022
230,1968,.7110561,.4417022
230,1969,1.081165,.4789555
230,1970,1.081165,.4789555
230,1971,1.081165,.4789555
230,1972,1.081165,.4789555
230,1973,1.081165,.4789555
230,1974,1.081165,.4789555
230,1975,1.081165,.4789555
230,1976,-.7024914,.4810157
235,1946,.8408085,.4527331
235,1947,.8408085,.4527331
235,1948,.8408085,.4527331
235,1949,.8408085,.4527331
235,1950,.8408085,.4527331
235,1951,.8408085,.4527331
235,1952,.8408085,.4527331
235,1953,.8408085,.4527331
235,1954,.8408085,.4527331
235,1955,.8408085,.4527331
235,1956,.8408085,.4527331
235,1957,.8408085,.4527331
235,1958,.8408085,.4527331
235,1959,.8408085,.4527331
235,1960,.8408085,.4527331
235,1961,.8408085,.4527331
235,1962,.8408085,.4527331
235,1963,.8408085,.4527331
235,1964,.8408085,.4527331
235,1965,.8408085,.4527331
235,1966,.8408085,.4527331
235,1967,.8408085,.4527331
235,1968,.8408085,.4527331
235,1969,-.1533447,.4237079
235,1970,.222114,.4193287
235,1971,.222114,.4193287
235,1972,.222114,.4193287
235,1973,.222114,.4193287
235,1974,.222114,.4193287
265,1950,-1.321256,.6139747
265,1951,-1.321256,.6139747
265,1952,-1.321256,.6139747
265,1953,-1.321256,.6139747
265,1954,.222114,.4193287
265,1955,-.1533447,.4237079
265,1956,-.1533447,.4237079
265,1957,-.1244275,.422545
265,1958,-.1244275,.422545
265,1959,.7612638,.4457084
265,1960,.7612638,.4457084
265,1961,.3625326,.4227343
265,1962,-.5291486,.4552513
265,1963,-.5291486,.4552513
265,1964,-.5291486,.4552513
265,1965,-.5291486,.4552513
265,1966,-.5291486,.4552513
265,1967,-.5291486,.4552513
265,1968,-.5291486,.4552513
265,1969,-.5291486,.4552513
265,1970,-.5291486,.4552513
265,1971,-.5291486,.4552513
265,1972,-1.321256,.6139747
265,1973,-1.321256,.6139747
265,1974,-1.321256,.6139747
265,1975,-1.321256,.6139747
265,1976,-1.321256,.6139747
265,1977,-1.321256,.6139747
265,1978,-1.321256,.6139747
265,1979,-1.321256,.6139747
265,1980,-1.321256,.6139747
265,1981,-1.321256,.6139747
265,1982,-1.321256,.6139747
265,1983,-1.321256,.6139747
265,1984,-1.321256,.6139747
265,1985,-1.321256,.6139747
265,1986,-1.321256,.6139747
265,1987,-1.321256,.6139747
265,1988,-1.321256,.6139747
265,1989,-1.321256,.6139747
265,1990,-1.321256,.6139747
290,1946,-.5291486,.4552513
290,1947,-.5291486,.4552513
290,1948,-.5291486,.4552513
290,1949,-.7323238,.4861371
290,1950,-.7323238,.4861371
290,1951,-.7323238,.4861371
290,1952,-.7323238,.4861371
290,1953,-.7323238,.4861371
290,1954,-1.321256,.6139747
290,1955,-1.321256,.6139747
290,1956,-1.321256,.6139747
290,1957,-1.321256,.6139747
290,1958,-1.321256,.6139747
290,1959,-1.321256,.6139747
290,1960,.222114,.4193287
290,1961,.222114,.4193287
290,1962,.222114,.4193287
290,1963,.222114,.4193287
290,1964,.222114,.4193287
290,1965,.222114,.4193287
290,1966,.222114,.4193287
290,1967,.222114,.4193287
290,1968,-.8920777,.5165605
290,1969,-.8920777,.5165605
290,1970,-1.321256,.6139747
290,1971,-1.321256,.6139747
290,1972,-.7024914,.4810157
290,1973,-.7024914,.4810157
290,1974,-1.321256,.6139747
290,1975,-1.321256,.6139747
290,1976,-1.321256,.6139747
290,1977,-1.321256,.6139747
290,1978,-1.321256,.6139747
290,1979,-1.321256,.6139747
290,1980,-1.321256,.6139747
290,1981,-1.321256,.6139747
290,1982,-.7323238,.4861371
290,1983,-.2920207,.4316276
290,1984,-.2920207,.4316276
290,1985,-.2920207,.4316276
290,1986,.8016658,.4491723
290,1987,.8016658,.4491723
290,1988,.8016658,.4491723
290,1989,.8016658,.4491723
310,1948,.0879212,.4184454
310,1949,.3625326,.4227343
310,1950,.5446236,.4307507
310,1951,.5446236,.4307507
310,1952,.5446236,.4307507
310,1953,.5446236,.4307507
310,1954,-.1973574,.4257903
310,1955,-.1973574,.4257903
310,1956,-.1973574,.4257903
310,1957,.2045223,.4190765
310,1958,-.2695529,.4300676
310,1959,-.5361967,.4561602
310,1960,-.5361967,.4561602
310,1961,-.5361967,.4561602
310,1962,-.5361967,.4561602
310,1963,-.5361967,.4561602
310,1964,-.5361967,.4561602
310,1965,-.5361967,.4561602
310,1966,-.5361967,.4561602
310,1967,-.5361967,.4561602
310,1968,-.5361967,.4561602
310,1969,-.5361967,.4561602
310,1970,-.5361967,.4561602
310,1971,-.5361967,.4561602
310,1972,-.5361967,.4561602
310,1973,-.5361967,.4561602
310,1974,-.5361967,.4561602
310,1975,-.5361967,.4561602
310,1976,-.5361967,.4561602
310,1977,-.5361967,.4561602
310,1978,-.5361967,.4561602
310,1979,-.5361967,.4561602
310,1980,-.5361967,.4561602
310,1981,-.5361967,.4561602
310,1982,-.5361967,.4561602
310,1983,-.5361967,.4561602
310,1984,-.5361967,.4561602
310,1985,-.5361967,.4561602
310,1986,-.5361967,.4561602
310,1987,-.5361967,.4561602
310,1988,-.5361967,.4561602
310,1989,-.5361967,.4561602
310,1990,-.5361967,.4561602
315,1949,.3625326,.4227343
315,1950,.7612638,.4457084
315,1951,.7612638,.4457084
315,1952,.7612638,.4457084
315,1953,.7612638,.4457084
315,1954,-.8920777,.5165605
315,1955,-.8920777,.5165605
315,1956,-1.321256,.6139747
315,1957,-1.321256,.6139747
315,1958,-1.321256,.6139747
315,1959,-1.321256,.6139747
315,1960,-1.321256,.6139747
315,1961,-1.321256,.6139747
315,1962,-1.321256,.6139747
315,1963,-1.321256,.6139747
315,1964,-1.321256,.6139747
315,1965,-1.321256,.6139747
315,1966,-1.321256,.6139747
315,1967,-1.321256,.6139747
315,1968,-1.321256,.6139747
315,1969,-.5291486,.4552513
315,1970,-.5291486,.4552513
315,1971,-.5291486,.4552513
315,1972,-.8920777,.5165605
315,1973,-.8920777,.5165605
315,1974,-.8920777,.5165605
315,1975,-.8920777,.5165605
315,1976,-1.321256,.6139747
315,1977,-1.321256,.6139747
